Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-001-0001,37.876870000000004,-122.26691299999999,15.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Alameda,1,Berkeley,"San Francisco-Oakland-Hayward, CA"
06-001-0002,37.533243,-121.95881299999999,22.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Fremont,"San Francisco-Oakland-Hayward, CA"
06-001-0003,37.6849,-121.7659,150.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Livermore,"San Francisco-Oakland-Hayward, CA"
06-001-0004,37.800484000000004,-122.26635800000001,38.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0005,37.7986,-122.2684,10.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0006,37.710229,-122.116899,43.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Castro Valley,"San Francisco-Oakland-Hayward, CA"
06-001-0007,37.687526,-121.784217,137.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Livermore,"San Francisco-Oakland-Hayward, CA"
06-001-0008,37.817118,-122.280454,14.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0009,37.743065,-122.16993500000001,11.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0010,37.760228999999995,-122.193578,10.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0011,37.814780999999996,-122.282347,0.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0012,37.793624,-122.263376,3.9,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-0013,37.864767,-122.302741,2.7,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-001-0015,37.701221999999994,-121.903019,101.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Pleasanton,"San Francisco-Oakland-Hayward, CA"
06-001-1001,37.535833000000004,-121.961823,17.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Fremont,"San Francisco-Oakland-Hayward, CA"
06-001-1002,37.682708,-121.77023100000001,149.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Livermore,"San Francisco-Oakland-Hayward, CA"
06-001-1003,37.806846,-122.26938,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-2001,37.654456,-122.031547,290.0,RESIDENTIAL,RURAL,California,Alameda,1,Hayward,"San Francisco-Oakland-Hayward, CA"
06-001-2002,37.806846,-122.26938,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-2003,37.816514,-122.23062,45.7,RESIDENTIAL,SUBURBAN,California,Alameda,1,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-001-2004,37.877794,-122.30129,6.0,COMMERCIAL,URBAN AND CENTER CITY,California,Alameda,1,Berkeley,"San Francisco-Oakland-Hayward, CA"
06-001-2005,37.689615,-121.63191599999999,526.0,AGRICULTURAL,RURAL,California,Alameda,1,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-001-3001,37.688519,-121.782977,139.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Livermore,"San Francisco-Oakland-Hayward, CA"
06-001-4001,37.798790999999994,-122.27715800000001,2.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Alameda,1,Oakland,"San Francisco-Oakland-Hayward, CA"
06-001-5001,37.718441999999996,-122.160997,23.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Alameda,1,San Leandro,"San Francisco-Oakland-Hayward, CA"
06-001-5002,37.866593,-122.267747,46.0,COMMERCIAL,SUBURBAN,California,Alameda,1,Berkeley,"San Francisco-Oakland-Hayward, CA"
06-001-6001,37.72081,-122.09913999999999,173.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Castro Valley,"San Francisco-Oakland-Hayward, CA"
06-001-6002,37.59369,-121.87621999999999,143.0,RESIDENTIAL,SUBURBAN,California,Alameda,1,Sunol,"San Francisco-Oakland-Hayward, CA"
